experiment,topology,parameter,alpha,seed,canonical_blocks,selfish_blocks,selfish_revenue_share,selfish_relative_revenue,stale_rate
v1_alpha_sweep,complete,,0.050000,42,4791,28,0.005844,0.116886,0.052413
v1_alpha_sweep,complete,,0.050000,43,4819,56,0.011621,0.232413,0.049319
v1_alpha_sweep,complete,,0.050000,44,4736,42,0.008868,0.177365,0.047657
v1_alpha_sweep,complete,,0.050000,45,4805,44,0.009157,0.183143,0.050583
v1_alpha_sweep,complete,,0.050000,46,4749,31,0.006528,0.130554,0.048106
v1_alpha_sweep,complete,,0.050000,47,4675,39,0.008342,0.166845,0.054218
v1_alpha_sweep,complete,,0.050000,48,4595,30,0.006529,0.130577,0.053553
v1_alpha_sweep,complete,,0.050000,49,4744,60,0.012648,0.252951,0.054226
v1_alpha_sweep,complete,,0.050000,50,4786,42,0.008776,0.175512,0.046043
v1_alpha_sweep,complete,,0.050000,51,4712,39,0.008277,0.165535,0.052674
v1_alpha_sweep,complete,,0.050000,52,4728,68,0.014382,0.287648,0.054778
v1_alpha_sweep,complete,,0.050000,53,4731,45,0.009512,0.190235,0.054178
v1_alpha_sweep,complete,,0.050000,54,4768,32,0.006711,0.134228,0.049063
v1_alpha_sweep,complete,,0.050000,55,4811,30,0.006236,0.124714,0.051833
v1_alpha_sweep,complete,,0.050000,56,4806,46,0.009571,0.191427,0.052632
v1_alpha_sweep,complete,,0.050000,57,4705,55,0.011690,0.233794,0.054081
v1_alpha_sweep,complete,,0.050000,58,4763,52,0.010917,0.218350,0.056271
v1_alpha_sweep,complete,,0.050000,59,4721,47,0.009956,0.199110,0.048952
v1_alpha_sweep,complete,,0.050000,60,4668,40,0.008569,0.171380,0.051027
v1_alpha_sweep,complete,,0.050000,61,4834,46,0.009516,0.190319,0.054752
v1_alpha_sweep,complete,,0.100000,42,4595,131,0.028509,0.285092,0.085754
v1_alpha_sweep,complete,,0.100000,43,4626,170,0.036749,0.367488,0.090802
v1_alpha_sweep,complete,,0.100000,44,4548,134,0.029464,0.294635,0.086564
v1_alpha_sweep,complete,,0.100000,45,4631,154,0.033254,0.332542,0.090177
v1_alpha_sweep,complete,,0.100000,46,4576,171,0.037369,0.373689,0.086809
v1_alpha_sweep,complete,,0.100000,47,4497,168,0.037358,0.373582,0.091699
v1_alpha_sweep,complete,,0.100000,48,4438,148,0.033348,0.333484,0.092434
v1_alpha_sweep,complete,,0.100000,49,4546,199,0.043775,0.437747,0.092434
v1_alpha_sweep,complete,,0.100000,50,4582,157,0.034265,0.342645,0.086523
v1_alpha_sweep,complete,,0.100000,51,4529,159,0.035107,0.351071,0.092021
v1_alpha_sweep,complete,,0.100000,52,4502,186,0.041315,0.413150,0.096165
v1_alpha_sweep,complete,,0.100000,53,4548,171,0.037599,0.375989,0.093663
v1_alpha_sweep,complete,,0.100000,54,4591,145,0.031584,0.315835,0.083267
v1_alpha_sweep,complete,,0.100000,55,4626,135,0.029183,0.291829,0.087754
v1_alpha_sweep,complete,,0.100000,56,4596,181,0.039382,0.393821,0.091340
v1_alpha_sweep,complete,,0.100000,57,4520,142,0.031416,0.314159,0.089261
v1_alpha_sweep,complete,,0.100000,58,4563,170,0.037256,0.372562,0.092121
v1_alpha_sweep,complete,,0.100000,59,4518,163,0.036078,0.360779,0.086535
v1_alpha_sweep,complete,,0.100000,60,4489,151,0.033638,0.336378,0.088343
v1_alpha_sweep,complete,,0.100000,61,4681,163,0.034822,0.348216,0.093883
v1_alpha_sweep,complete,,0.150000,42,4401,297,0.067485,0.449898,0.116974
v1_alpha_sweep,complete,,0.150000,43,4416,314,0.071105,0.474034,0.123636
v1_alpha_sweep,complete,,0.150000,44,4370,327,0.074828,0.498856,0.121608
v1_alpha_sweep,complete,,0.150000,45,4457,353,0.079201,0.528008,0.125736
v1_alpha_sweep,complete,,0.150000,46,4412,304,0.068903,0.459353,0.118129
v1_alpha_sweep,complete,,0.150000,47,4357,352,0.080790,0.538597,0.124749
v1_alpha_sweep,complete,,0.150000,48,4279,297,0.069409,0.462725,0.129400
v1_alpha_sweep,complete,,0.150000,49,4390,398,0.090661,0.604404,0.126542
v1_alpha_sweep,complete,,0.150000,50,4426,372,0.084049,0.560325,0.124604
v1_alpha_sweep,complete,,0.150000,51,4351,347,0.079752,0.531679,0.125779
v1_alpha_sweep,complete,,0.150000,52,4320,357,0.082639,0.550926,0.130960
v1_alpha_sweep,complete,,0.150000,53,4401,350,0.079527,0.530183,0.125745
v1_alpha_sweep,complete,,0.150000,54,4396,298,0.067789,0.451926,0.117978
v1_alpha_sweep,complete,,0.150000,55,4453,335,0.075230,0.501535,0.121869
v1_alpha_sweep,complete,,0.150000,56,4427,380,0.085837,0.572246,0.124407
v1_alpha_sweep,complete,,0.150000,57,4323,306,0.070784,0.471895,0.120090
v1_alpha_sweep,complete,,0.150000,58,4408,348,0.078947,0.526316,0.124528
v1_alpha_sweep,complete,,0.150000,59,4348,346,0.079577,0.530512,0.119303
v1_alpha_sweep,complete,,0.150000,60,4336,351,0.080950,0.539668,0.120308
v1_alpha_sweep,complete,,0.150000,61,4455,361,0.081033,0.540217,0.127839
v1_alpha_sweep,complete,,0.200000,42,4222,550,0.130270,0.651350,0.147415
v1_alpha_sweep,complete,,0.200000,43,4232,497,0.117439,0.587193,0.152074
v1_alpha_sweep,complete,,0.200000,44,4237,521,0.122964,0.614822,0.149709
v1_alpha_sweep,complete,,0.200000,45,4325,560,0.129480,0.647399,0.152957
v1_alpha_sweep,complete,,0.200000,46,4248,501,0.117938,0.589689,0.148868
v1_alpha_sweep,complete,,0.200000,47,4207,553,0.131448,0.657238,0.156576
v1_alpha_sweep,complete,,0.200000,48,4146,519,0.125181,0.625904,0.161408
v1_alpha_sweep,complete,,0.200000,49,4196,586,0.139657,0.698284,0.154373
v1_alpha_sweep,complete,,0.200000,50,4249,562,0.132266,0.661332,0.154764
v1_alpha_sweep,complete,,0.200000,51,4180,548,0.131100,0.655502,0.154189
v1_alpha_sweep,complete,,0.200000,52,4219,602,0.142688,0.713439,0.158052
v1_alpha_sweep,complete,,0.200000,53,4254,593,0.139398,0.696991,0.159122
v1_alpha_sweep,complete,,0.200000,54,4256,494,0.116071,0.580357,0.147265
v1_alpha_sweep,complete,,0.200000,55,4315,523,0.121205,0.606025,0.149083
v1_alpha_sweep,complete,,0.200000,56,4267,603,0.141317,0.706585,0.160700
v1_alpha_sweep,complete,,0.200000,57,4183,546,0.130528,0.652642,0.149624
v1_alpha_sweep,complete,,0.200000,58,4232,509,0.120274,0.601371,0.154108
v1_alpha_sweep,complete,,0.200000,59,4162,592,0.142239,0.711197,0.153032
v1_alpha_sweep,complete,,0.200000,60,4176,554,0.132663,0.663314,0.155340
v1_alpha_sweep,complete,,0.200000,61,4285,583,0.136056,0.680280,0.159969
v1_alpha_sweep,complete,,0.250000,42,4067,808,0.198672,0.794689,0.177387
v1_alpha_sweep,complete,,0.250000,43,4068,783,0.192478,0.769912,0.184770
v1_alpha_sweep,complete,,0.250000,44,4079,765,0.187546,0.750184,0.180101
v1_alpha_sweep,complete,,0.250000,45,4150,819,0.197349,0.789398,0.181137
v1_alpha_sweep,complete,,0.250000,46,4104,768,0.187135,0.748538,0.181165
v1_alpha_sweep,complete,,0.250000,47,4013,890,0.221779,0.887117,0.196757
v1_alpha_sweep,complete,,0.250000,48,4039,779,0.192870,0.771478,0.191877
v1_alpha_sweep,complete,,0.250000,49,4065,815,0.200492,0.801968,0.186675
v1_alpha_sweep,complete,,0.250000,50,4083,817,0.200098,0.800392,0.183890
v1_alpha_sweep,complete,,0.250000,51,4046,760,0.187840,0.751359,0.183121
v1_alpha_sweep,complete,,0.250000,52,4041,817,0.202178,0.808711,0.190343
v1_alpha_sweep,complete,,0.250000,53,4068,821,0.201819,0.807276,0.188024
v1_alpha_sweep,complete,,0.250000,54,4085,717,0.175520,0.702081,0.173077
v1_alpha_sweep,complete,,0.250000,55,4139,808,0.195216,0.780865,0.182823
v1_alpha_sweep,complete,,0.250000,56,4142,863,0.208353,0.833414,0.188480
v1_alpha_sweep,complete,,0.250000,57,4031,810,0.200943,0.803771,0.188117
