experiment,topology,parameter,alpha,seed,canonical_blocks,selfish_blocks,selfish_revenue_share,selfish_relative_revenue,stale_rate
v2_topology_sweep,complete,,0.350000,42,3731,1448,0.388100,1.108856,0.260602
v2_topology_sweep,complete,,0.350000,43,3745,1349,0.360214,1.029182,0.244807
v2_topology_sweep,complete,,0.350000,44,3811,1314,0.344791,0.985118,0.237800
v2_topology_sweep,complete,,0.350000,45,3727,1334,0.357929,1.022653,0.241555
v2_topology_sweep,complete,,0.350000,46,3811,1480,0.388350,1.109570,0.254936
v2_topology_sweep,complete,,0.350000,47,3701,1324,0.357741,1.022118,0.246539
v2_topology_sweep,complete,,0.350000,48,3785,1426,0.376750,1.076430,0.249603
v2_topology_sweep,complete,,0.350000,49,3722,1339,0.359753,1.027865,0.249748
v2_topology_sweep,complete,,0.350000,50,3719,1322,0.355472,1.015634,0.246709
v2_topology_sweep,complete,,0.350000,51,3705,1364,0.368151,1.051860,0.256173
v2_topology_sweep,complete,,0.350000,52,3801,1378,0.362536,1.035818,0.250296
v2_topology_sweep,complete,,0.350000,53,3783,1307,0.345493,0.987123,0.244005
v2_topology_sweep,complete,,0.350000,54,3588,1332,0.371237,1.060678,0.253278
v2_topology_sweep,complete,,0.350000,55,3715,1344,0.361777,1.033647,0.259075
v2_topology_sweep,complete,,0.350000,56,3807,1347,0.353822,1.010920,0.250591
v2_topology_sweep,complete,,0.350000,57,3716,1358,0.365447,1.044133,0.245482
v2_topology_sweep,complete,,0.350000,58,3743,1368,0.365482,1.044235,0.249749
v2_topology_sweep,complete,,0.350000,59,3761,1354,0.360011,1.028602,0.244172
v2_topology_sweep,complete,,0.350000,60,3760,1393,0.370479,1.058511,0.250548
v2_topology_sweep,complete,,0.350000,61,3754,1373,0.365743,1.044981,0.252787
v2_topology_sweep,ring,,0.350000,42,3660,1413,0.386066,1.103044,0.257606
v2_topology_sweep,ring,,0.350000,43,3709,1443,0.389054,1.111582,0.259681
v2_topology_sweep,ring,,0.350000,44,3700,1417,0.382973,1.094208,0.254032
v2_topology_sweep,ring,,0.350000,45,3664,1535,0.418941,1.196974,0.270120
v2_topology_sweep,ring,,0.350000,46,3766,1492,0.396176,1.131932,0.259827
v2_topology_sweep,ring,,0.350000,47,3669,1469,0.400382,1.143947,0.264435
v2_topology_sweep,ring,,0.350000,48,3676,1643,0.446953,1.277009,0.281048
v2_topology_sweep,ring,,0.350000,49,3688,1282,0.347614,0.993183,0.244107
v2_topology_sweep,ring,,0.350000,50,3663,1415,0.386295,1.103701,0.260299
v2_topology_sweep,ring,,0.350000,51,3598,1405,0.390495,1.115699,0.265714
v2_topology_sweep,ring,,0.350000,52,3747,1468,0.391780,1.119372,0.258754
v2_topology_sweep,ring,,0.350000,53,3664,1412,0.385371,1.101061,0.259349
v2_topology_sweep,ring,,0.350000,54,3641,1354,0.371876,1.062502,0.254046
v2_topology_sweep,ring,,0.350000,55,3705,1424,0.384345,1.098130,0.260627
v2_topology_sweep,ring,,0.350000,56,3776,1402,0.371292,1.060835,0.251833
v2_topology_sweep,ring,,0.350000,57,3688,1474,0.399675,1.141927,0.261514
v2_topology_sweep,ring,,0.350000,58,3726,1352,0.362856,1.036730,0.253307
v2_topology_sweep,ring,,0.350000,59,3727,1457,0.390931,1.116946,0.254749
v2_topology_sweep,ring,,0.350000,60,3767,1412,0.374834,1.070955,0.249452
v2_topology_sweep,ring,,0.350000,61,3765,1460,0.387782,1.107949,0.255340
v2_topology_sweep,random_regular,k=4,0.350000,42,3759,1325,0.352487,1.007107,0.247146
v2_topology_sweep,random_regular,k=4,0.350000,43,3695,1378,0.372936,1.065533,0.257734
v2_topology_sweep,random_regular,k=4,0.350000,44,3776,1331,0.352489,1.007113,0.246307
v2_topology_sweep,random_regular,k=4,0.350000,45,3666,1440,0.392799,1.122282,0.258795
v2_topology_sweep,random_regular,k=4,0.350000,46,3780,1366,0.361376,1.032502,0.248060
v2_topology_sweep,random_regular,k=4,0.350000,47,3701,1381,0.373142,1.066121,0.253228
v2_topology_sweep,random_regular,k=4,0.350000,48,3783,1458,0.385408,1.101167,0.252667
v2_topology_sweep,random_regular,k=4,0.350000,49,3670,1302,0.354768,1.013624,0.249489
v2_topology_sweep,random_regular,k=4,0.350000,50,3699,1399,0.378210,1.080601,0.260644
v2_topology_sweep,random_regular,k=4,0.350000,51,3741,1378,0.368351,1.052431,0.253442
v2_topology_sweep,random_regular,k=4,0.350000,52,3767,1335,0.354393,1.012553,0.245090
v2_topology_sweep,random_regular,k=4,0.350000,53,3682,1416,0.384574,1.098782,0.259155
v2_topology_sweep,random_regular,k=4,0.350000,54,3636,1322,0.363586,1.038818,0.257656
v2_topology_sweep,random_regular,k=4,0.350000,55,3696,1399,0.378517,1.081478,0.263305
v2_topology_sweep,random_regular,k=4,0.350000,56,3822,1396,0.365254,1.043582,0.247786
v2_topology_sweep,random_regular,k=4,0.350000,57,3721,1356,0.364418,1.041195,0.254159
v2_topology_sweep,random_regular,k=4,0.350000,58,3757,1335,0.355337,1.015248,0.245582
v2_topology_sweep,random_regular,k=4,0.350000,59,3720,1426,0.383333,1.095238,0.258816
v2_topology_sweep,random_regular,k=4,0.350000,60,3744,1353,0.361378,1.032509,0.248193
v2_topology_sweep,random_regular,k=4,0.350000,61,3761,1461,0.388461,1.109887,0.258624
v2_topology_sweep,two_community_bridge,bridges=2,0.350000,42,3707,1518,0.409496,1.169987,0.258748
v2_topology_sweep,two_community_bridge,bridges=2,0.350000,43,3696,1472,0.398268,1.137910,0.256338
v2_topology_sweep,two_community_bridge,bridges=2,0.350000,44,3761,1424,0.378623,1.081779,0.249301
v2_topology_sweep,two_community_bridge,bridges=2,0.350000,45,3750,1439,0.383733,1.096381,0.244713
v2_topology_sweep,two_community_bridge,bridges=2,0.350000,46,3775,1414,0.374570,1.070199,0.248906
v2_topology_sweep,two_community_bridge,bridges=2,0.350000,47,3747,1477,0.394182,1.126234,0.255366
v2_topology_sweep,two_community_bridge,bridges=2,0.350000,48,3753,1502,0.400213,1.143466,0.257567
v2_topology_sweep,two_community_bridge,bridges=2,0.350000,49,3654,1407,0.385057,1.100164,0.251996
v2_topology_sweep,two_community_bridge,bridges=2,0.350000,50,3745,1392,0.371696,1.061987,0.244045
v2_topology_sweep,two_community_bridge,bridges=2,0.350000,51,3700,1457,0.393784,1.125097,0.252072
v2_topology_sweep,two_community_bridge,bridges=2,0.350000,52,3737,1453,0.388815,1.110899,0.250351
v2_topology_sweep,two_community_bridge,bridges=2,0.350000,53,3770,1420,0.376658,1.076165,0.240379
v2_topology_sweep,two_community_bridge,bridges=2,0.350000,54,3641,1470,0.403735,1.153529,0.255724
v2_topology_sweep,two_community_bridge,bridges=2,0.350000,55,3704,1501,0.405238,1.157822,0.266970
v2_topology_sweep,two_community_bridge,bridges=2,0.350000,56,3865,1474,0.381371,1.089632,0.251114
v2_topology_sweep,two_community_bridge,bridges=2,0.350000,57,3686,1466,0.397721,1.136346,0.258350
v2_topology_sweep,two_community_bridge,bridges=2,0.350000,58,3670,1427,0.388828,1.110938,0.255578
v2_topology_sweep,two_community_bridge,bridges=2,0.350000,59,3688,1480,0.401302,1.146576,0.257798
v2_topology_sweep,two_community_bridge,bridges=2,0.350000,60,3712,1461,0.393588,1.124538,0.252367
v2_topology_sweep,two_community_bridge,bridges=2,0.350000,61,3797,1510,0.397682,1.136235,0.250346
v2_topology_sweep,hub_spoke,selfish_hub,0.350000,42,3708,1739,0.468986,1.339960,0.261207
v2_topology_sweep,hub_spoke,selfish_hub,0.350000,43,3736,1678,0.449143,1.283267,0.247987
v2_topology_sweep,hub_spoke,selfish_hub,0.350000,44,3796,1655,0.435985,1.245672,0.241558
v2_topology_sweep,hub_spoke,selfish_hub,0.350000,45,3711,1636,0.440852,1.259576,0.244657
v2_topology_sweep,hub_spoke,selfish_hub,0.350000,46,3787,1783,0.470821,1.345204,0.259339
v2_topology_sweep,hub_spoke,selfish_hub,0.350000,47,3671,1652,0.450014,1.285753,0.250663
v2_topology_sweep,hub_spoke,selfish_hub,0.350000,48,3760,1742,0.463298,1.323708,0.253524
v2_topology_sweep,hub_spoke,selfish_hub,0.350000,49,3705,1684,0.454521,1.298631,0.252874
v2_topology_sweep,hub_spoke,selfish_hub,0.350000,50,3682,1633,0.443509,1.267168,0.249949
